Study,DOI,Citation,Species,BioProject,GEO_series,GEO_sample,SRA_experiment,SRA_runs,Download_URL,Original_sample_id,Undergone_treatment.Contains_transgene.Mutant_phenotype,Cultivar,Growth_medium,Plant_stage,Tissue,Tissue_size,Protoplasting_time,Number_of_cells.loaded,Library_protocol,Spike.in
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478132,SRX5025987,SRR8206662,,I,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478133,SRX5025988,SRR8206663,,J,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
Wendrich_et_al_2020,10.1126/science.aay4970,"Wendrich, J. R., Yang, B., Vandamme, N., Verstaen, K., Smet, W., Van de Velde, C., Minne, M., Wybouw, B., Mor, E., Arents, H. E., Nolf, J., Van Duyse, J., Van Isterdael, G., Maere, S., Saeys, Y., & De Rybel, B. (2020). Vascular transcription factors guide plant epidermal responses to limiting phosphate conditions. Science, 370(6518), eaay4970. https://doi.org/10.1126/science.aay4970",Arabidopsis thaliana,PRJNA594539,GSE141730,GSM4212550,SRX7299165,"SRR10620013, SRR10620014, SRR10620015, SRR10620016",,"Root-tip protoplast cells, WT, scRNA-seq, replicate 1",No,Col-0,0.5x Murashige and Skoog (MS) medium ,6 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Wendrich_et_al_2020,10.1126/science.aay4970,"Wendrich, J. R., Yang, B., Vandamme, N., Verstaen, K., Smet, W., Van de Velde, C., Minne, M., Wybouw, B., Mor, E., Arents, H. E., Nolf, J., Van Duyse, J., Van Isterdael, G., Maere, S., Saeys, Y., & De Rybel, B. (2020). Vascular transcription factors guide plant epidermal responses to limiting phosphate conditions. Science, 370(6518), eaay4970. https://doi.org/10.1126/science.aay4970",Arabidopsis thaliana,PRJNA594539,GSE141730,GSM4212551,SRX7299166,"SRR10620017, SRR10620018, SRR10620019, SRR10620020",,"Root-tip protoplast cells, WT, scRNA-seq, replicate 2",No,Col-0,0.5x Murashige and Skoog (MS) medium ,6 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Wendrich_et_al_2020,10.1126/science.aay4970,"Wendrich, J. R., Yang, B., Vandamme, N., Verstaen, K., Smet, W., Van de Velde, C., Minne, M., Wybouw, B., Mor, E., Arents, H. E., Nolf, J., Van Duyse, J., Van Isterdael, G., Maere, S., Saeys, Y., & De Rybel, B. (2020). Vascular transcription factors guide plant epidermal responses to limiting phosphate conditions. Science, 370(6518), eaay4970. https://doi.org/10.1126/science.aay4970",Arabidopsis thaliana,PRJNA594539,GSE141730,GSM4212552,SRX7299167,"SRR10620021, SRR10620022, SRR10620023, SRR10620024",,"Root-tip protoplast cells, WT, scRNA-seq, replicate 3",No,Col-0,0.5x Murashige and Skoog (MS) medium ,6 day,root tip,N.A.,1 h,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625993,SRX8574728,"SRR12046049, SRR12046050",,sc_1,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625994,SRX8574729,"SRR12046051, SRR12046052",,sc_9,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,rice root protoplasts
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625995,SRX8574730,"SRR12046053, SRR12046054",,sc_10,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,rice root protoplasts
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625996,SRX8574731,"SRR12046055, SRR12046056",,sc_11,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625997,SRX8574732,"SRR12046057, SRR12046058, SRR12046059, SRR12046060",,sc_12,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625998,SRX8574733,"SRR12046061, SRR12046062",,sc_20,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4625999,SRX8574734,"SRR12046063, SRR12046064",,sc_21,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626000,SRX8574735,"SRR12046065, SRR12046066",,sc_25,Yes,scarecrow-4,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626001,SRX8574736,"SRR12046067, SRR12046068, SRR12046069, SRR12046070, SRR12046071, SRR12046072, SRR12046073, SRR12046074",,sc_30,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626002,SRX8574737,"SRR12046075, SRR12046076, SRR12046077, SRR12046078, SRR12046079, SRR12046080, SRR12046081, SRR12046082",,sc_31,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626003,SRX8574738,"SRR12046083, SRR12046084, SRR12046085, SRR12046086, SRR12046087, SRR12046088, SRR12046089, SRR12046090",,sc_36,Yes,scarecrow-4,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
