Study,DOI,Citation,Species,BioProject,GEO_series,GEO_sample,SRA_experiment,SRA_runs,Download_URL,Original_sample_id,Undergone_treatment.Contains_transgene.Mutant_phenotype,Cultivar,Growth_medium,Plant_stage,Tissue,Tissue_size,Protoplasting_time,Number_of_cells.loaded,Library_protocol,Spike.in
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6857958,SRX18769969,"SRR22810255, SRR22810256",,sc_113,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6857959,SRX18769970,"SRR22810253, SRR22810254",,sc_114,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM8149519,SRX23961715,"SRR28356473, SRR28356474",,sc_132,Yes,pCVP2:BRI1-Citrine_bri1-T,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM8149520,SRX23961716,"SRR28356471, SRR28356472",,sc_136,Yes,pCVP2:BRI1-Citrine_bri1-T,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043738,SRX19366041,"SRR23457087, SRR23457088, SRR23457089, SRR23457090",,col_Mock_1,No,Col-0,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043740,SRX19366043,"SRR23457078, SRR23457091, SRR23457092, SRR23457093",,col_Mock_2,No,Col-0,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043741,SRX19366044,"SRR23457076, SRR23457077, SRR23457094, SRR23457095",,col_Mock_3,No,Col-0,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043743,SRX19366042,"SRR23457079, SRR23457080, SRR23457081, SRR23457082",,col_RALF1_1,Yes,Col-0,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043744,SRX19366050,"SRR23457051, SRR23457083, SRR23457084, SRR23457085",,col_RALF1_2,Yes,Col-0,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043745,SRX19366045,"SRR23457073, SRR23457074, SRR23457075, SRR23457086",,col_RALF1_3,Yes,Col-0,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043746,SRX19366046,"SRR23457069, SRR23457070, SRR23457071, SRR23457072",,fer4_Mock_1,Yes,fer-4,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043747,SRX19366047,"SRR23457065, SRR23457066, SRR23457067, SRR23457068",,fer4_Mock_2,Yes,fer-4,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043748,SRX19366049,"SRR23457052, SRR23457053, SRR23457054, SRR23457055",,fer4_Mock_3,Yes,fer-4,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043749,SRX19366048,"SRR23457056, SRR23457057, SRR23457058, SRR23457059",,fer4_RALF1_1,Yes,fer-4,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043750,SRX19366051,"SRR23457050, SRR23457060, SRR23457061, SRR23457062",,fer4_RALF1_2,Yes,fer-4,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Xu_et_al_2024,10.1016/j.devcel.2024.01.001,"Xu, F., Chen, J., Li, Y., Ouyang, S., Yu, M., Wang, Y., Fang, X., He, K., & Yu, F. (2024). The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER. Developmental Cell, 59(4), 434-447.e8. https://doi.org/10.1016/j.devcel.2024.01.001",Arabidopsis thaliana,PRJNA934914,GSE225299,GSM7043751,SRX19366052,"SRR23457048, SRR23457049, SRR23457063, SRR23457064",,fer4_RALF1_3,Yes,fer-4,0.5x Murashige and Skoog (MS) medium + 0.8% Sucrose + 1% Phytoagar,7 day,whole root,1.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180251,SRX24105336,"SRR28503597, SRR28503598, SRR28503599, SRR28503600",,sc_71,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180252,SRX24105333,"SRR28503619, SRR28503620, SRR28503621, SRR28503622, SRR28503623, SRR28503624, SRR28503625, SRR28503626",,sc_157,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180253,SRX24105334,"SRR28503610, SRR28503611, SRR28503612, SRR28503613, SRR28503614, SRR28503615, SRR28503616, SRR28503617",,sc_158,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,6 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180254,SRX24105335,"SRR28503601, SRR28503602, SRR28503603, SRR28503604, SRR28503605, SRR28503606, SRR28503607, SRR28503618",,sc_159,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180255,SRX24105337,"SRR28503591, SRR28503592, SRR28503593, SRR28503594, SRR28503595, SRR28503596, SRR28503608, SRR28503609",,sc_169,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180256,SRX24105338,"SRR28503583, SRR28503584, SRR28503585, SRR28503586, SRR28503587, SRR28503588, SRR28503589, SRR28503590",,sc_170,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,6 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180257,SRX24105339,"SRR28503575, SRR28503576, SRR28503577, SRR28503578, SRR28503579, SRR28503580, SRR28503581, SRR28503582",,sc_171,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,6 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180258,SRX24105340,"SRR28503571, SRR28503572, SRR28503573, SRR28503574",,sc_215,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180259,SRX24105341,"SRR28503567, SRR28503568, SRR28503569, SRR28503570",,sc_217,Yes,ops/opl2 mutant,0.5X Linsmaier and Skoog + 1% Sucrose,N.A,root tip,N.A,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180260,SRX24105342,"SRR28503561, SRR28503562, SRR28503563, SRR28503564",,sc_221,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180261,SRX24105343,"SRR28503558, SRR28503559, SRR28503560, SRR28503565",,sc_223,Yes,ops/opl2 mutant,0.5X Linsmaier and Skoog + 1% Sucrose,N.A,root tip,N.A,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180262,SRX24105331,"SRR28503631, SRR28503566, SRR28503632, SRR28503633",,sc_229,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.2 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Vukašinović_et_al_2025,10.1016/j.cell.2025.02.011,"Vukašinović, N., Hsu, C.-W., Marconi, M., Li, S., Zachary, C., Shahan, R., Szekley, P., Aardening, Z., Vanhoutte, I., Ma, Q., Pinto, L., Krupař, P., German, N., Zhang, J., Simon--Vezo, C., Perez-Sancho, J., Quijada, P. C., Zhou, Q., Lee, L. R., … Russinova, E. (2025). Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells. Cell, 188(8), 2063-2080.e24. https://doi.org/10.1016/j.cell.2025.02.011",Arabidopsis thaliana,PRJNA1093461,GSE262840,GSM8180263,SRX24105332,"SRR28503627, SRR28503628, SRR28503629, SRR28503630",,sc_235,No,Col-0,0.5X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.2 cm,1 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1 HT,N.A
Liu_et_al_2021,10.1016/j.molp.2020.12.014,"Liu, Q., Liang, Z., Feng, D., Jiang, S., Wang, Y., Du, Z., Li, R., Hu, G., Zhang, P., Ma, Y., Lohmann, J. U., & Gu, X. (2021). Transcriptional landscape of rice roots at the single-cell resolution. Molecular Plant, 14(3), 384–394. https://doi.org/10.1016/j.molp.2020.12.014",Oryza sativa,PRJNA609092,GSE146035,GSM4363200,SRX7814224,SRR11194113,,93-11_scRNA-seq,No,93-11,Hoaglandâ€™s Complete Nutrient Solution,3 day,root tip,0.5 cm,3 h,18000,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Liu_et_al_2021,10.1016/j.molp.2020.12.014,"Liu, Q., Liang, Z., Feng, D., Jiang, S., Wang, Y., Du, Z., Li, R., Hu, G., Zhang, P., Ma, Y., Lohmann, J. U., & Gu, X. (2021). Transcriptional landscape of rice roots at the single-cell resolution. Molecular Plant, 14(3), 384–394. https://doi.org/10.1016/j.molp.2020.12.014",Oryza sativa,PRJNA609092,GSE146035,GSM4363201,SRX7814225,SRR11194114,,Nip_scRNA-seq,No,Nipponbare,Hoaglandâ€™s Complete Nutrient Solution,3 day,root tip,0.5 cm,3 h,18000,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Zhang_et_al_2021,10.1038/s41467-021-22352-4,"Zhang, T.-Q., Chen, Y., Liu, Y., Lin, W.-H., & Wang, J.-W. (2021). Single-cell transcriptome atlas and chromatin accessibility landscape reveal differentiation trajectories in the rice root. Nature Communications, 12(1), 2053. https://doi.org/10.1038/s41467-021-22352-4",Oryza sativa,PRJNA706435,N.A.,N.A.,SRX10234834,SRR13853440,,OsRoot1_scRNA_lib1,No,ZH11,wet filter paper,5 day,root tip,1 cm,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A
Zhang_et_al_2021,10.1038/s41467-021-22352-4,"Zhang, T.-Q., Chen, Y., Liu, Y., Lin, W.-H., & Wang, J.-W. (2021). Single-cell transcriptome atlas and chromatin accessibility landscape reveal differentiation trajectories in the rice root. Nature Communications, 12(1), 2053. https://doi.org/10.1038/s41467-021-22352-4",Oryza sativa,PRJNA706435,N.A.,N.A.,SRX10234835,SRR13853439,,OsRoot2_scRNA_lib2,No,ZH11,wet filter paper,5 day,root tip,1 cm,2 h,32000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350942,CRX235962,"CRR279079, CRR279080, CRR279081, CRR279082","ftp://download.big.ac.cn/gsa/CRA004082/CRR279079/CRR279079.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279080/CRR279080.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279081/CRR279081.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279082/CRR279082.tar",Quality control replicate 1,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,6000,10x Genomics Single Cell 3â€™ Reagent Kit v3,Arabidopsis root cells
